terminal,seccion,CCH,ICH
3202567Y7,0.75,1.12,3.05
3202567Y7,0.5,1.03,3
32025Y2HX,1.5,1.57,3.95
32025Y2HX,2.5,1.87,4.44
E00029719,1,1.4,4.4
320290091,0.35,1.06,2.7
3202601D4,0.35,1.02,3.95
3202601D4,0.5,1.09,4
32025Y2JX,1.5,1.7,3.8
32025Y2JX,2.5,1.9,4.3
3202512R1,0.35,1.09,2.6
3202512R1,0.5,1.15,2.75
32025Y2JT,0.35,0.9,3.14
32025Y2JT,0.5,0.95,3.4
32025Y2SV,0.35,0.8,2.8
32025Y0VL,0.5,1.1,3
3202580I8,0.5,1,2.3
3202586P6,2.5,1.85,4.35
32025Y25K,0.5,0.9,3
3202536X7,2.5,2,4.25
3202600A1,1.5,1.4,3.5
3202570S5,0.75,1.27,3.8
3202559W1,0.5,1.15,3.2
3202579D2,0.75,1.37,3.85
3202515Q0,1,1.4,4.8
32025Y2PT,0.75,1.1,3.05
32025Y2PT,0.5,1.1,3.05
E05719900,1.5,1.6,4.05
32025Y0VN,4,2.35,6.2
3202515R8,2.5,1.9,4.8
3202566I6,0.35,1.05,4.26
3202536F9,0.5,1.3,3.6
32025Y2SX,0.35,0.92,2.5
3202508K2,0.75,1.15,3.7
32025Y1NN,0.35,0.95,3.3
32025Y34H,0.5,1.1,2.6
3202506V7,0.5,1.34,3.9
3202577M4,0.35,1,2.75
32025Y1CB,0.5,1.05,2.9
32025Y1CB,0.75,1.21,2.9
3202552E0,0.5,1.25,3.2
3202553U2,0.75,1.27,3.35
3202601F9,0.5,0.92,3
3202577J0,0.5,1.12,2.8
3202577J0,0.75,1.25,3.2
3202577J0,1,1.25,3.4
32025Y2QJ,1.5,1.46,3.3
E12181200,0.75,1,2
3202567N3,0.35,1.16,2.9
E09878600,2.5,2.12,6.33
320259872,6,2.65,6.95
3202559V3,0.75,1.25,3.3
320258AD8,1.5,1.38,4.1
32025Y1NQ,1.5,1.45,4.05
32025Y1NR,2,1.55,4
3202558Z6,2.5,1.88,4.05
32025Y2P8,0.35,0.85,2.8
E12201100,6,3.25,5.5
320264575,6,2.55,4.95
320250AG8,6,2.85,5.55
E17320100,35,7.8,-
E12210200,35,7.5,-
E00021926,16,5.85,-
3201508D0,35,8.1,-
E12276300,35,7.5,-
E12276400,35,8.4,13.2
E12207600,35,8.25,13.25
E12210600,16,6.25,-
E03597700,35,9.05,-
E12208400,35,9.05,-
E12217000,35,8.25,13.35
E12216900,35,8.25,13.35
E12209900,16,6.2,-
E08911100,35,7.6,-
E12148100,0.5,1.75,2.65
E12209800,1,2.4,3.15
E12209800,1.5,2.45,3.3
E12222700,4,2.1,4.1
32025Y2QQ,4,2.34,4.45
32025Y2NK,0.35,1.02,1.8
32025Y2NK,0.5,1.09,1.9
32025Y2RT,0.75,1.37,3.15
32025Y2RT,1.5,1.47,3.45
320257A81,0.35,1.05,2.05
3202570E8,0.35,1.1,2.1
320257A99,0.75,1.25,2.45
32025Y19M,4,2.25,4.75
3202573U8,4,2.35,3.85
32025Y2SU,4,2.35,4.05
E01925600,1.5,1.5,2.85
E12181200,0.35,0.95,1.85
320292170,0.5,1.05,2.8
320264906,0.35,1.07,1.9
320264906,0.75,1.35,2.15
E08046100,0.5,0.93,1.8
E08046100,0.75,1.05,2.1
3202542Y7,0.5,1.35,2.55
3202542Y7,1,1.55,2.7
3202542Y7,0.75,1.45,2.65
E12148500,0.35,0.76,1.5
E12148500,0.5,0.91,1.83
32025Y1LX,2.5,1.9,3.3
3202587B6,0.35,0.98,1.8
3202587B6,0.5,1.1,1.9
3202532Q9,0.75,1.15,2.2
3202532Q9,1.5,1.45,2.6
32025Y2C3,0.35,1.05,1.8
32025Y2C3,0.5,1.15,2.05
32025Y2T5,0.35,0.95,1.6
32025Y2T5,0.5,1.05,1.9
E07899500,0.35,0.84,1.55
320251440,0.35,0.92,3.5
320251440,0.5,1.02,3.5
320264716,0.35,0.75,1.48
320264716,0.5,0.88,1.8
E03284700,0.5,1.03,1.9
E03284700,0.75,1.15,2.25
32025Y2BY,0.75,1.35,2.4
3202573M8,1.5,1.55,2.9
3202573M8,2.5,1.86,3.35
32025Y2L7,0.5,1.1,2.1
32025Y2L7,0.75,1.15,2.3
3202980Q6,0.35,1,2
3202980Q6,0.5,1.03,2
E00025359,0.5,0.95,2.15
32025Y2MW,1,1.3,2.8
32025Y2MW,1.5,1.4,2.9
3202542Z5,1.5,1.8,2.85
3202542Z5,2.5,2,3.75
32025Y19P,0.35,1.2,2.16
32025Y2BJ,0.35,0.95,1.6
32025Y2BM,1.5,1.45,2.6
320265234,0.5,1.07,2.05
320265242,0.35,0.91,1.8
32025Y14Z,0.5,1.12,3.1
E12134400,0.5,1.07,1.9
320258FW8,1.5,1.8,3.05
3202585H5,0.5,1.18,2.5
320261399,2.5,1.88,3.4
3202602M3,0.5,1.09,3.8
3202573E5,0.35,0.9,1.7
32025Y2ZF,0.5,0.9,1.7
32025Y2ZF,0.75,1.02,2.23
3202573X1,0.5,1,2.1
3202535K9,0.75,1.25,2.5
3202522F5,4,2.15,4.25
320261175,0.35,1.05,1.65
32025Y25S,1.5,1.55,3
E08046000,0.35,0.84,1.55
E12210800,35,8.8,
E12230000,2.5,1.7,3.95
3202539J7,0.5,1.15,2.05
32025Y25Q,0.75,1.25,2.45
E00010692,0.5,1.18,2.3
E00010692,0.75,1.27,2.45
3202539K5,0.75,1.35,2.35
3202573K2,0.35,1.1,1.85
32025Y2C0,1.5,1.5,2.7
E12208500,0.75,1.2,2.15
3202541W2,0.5,1.2,1.9
320250AG8,4,2.5,5.25
32025Y2P6,4,2.65,4.6
320250AD5,2.5,2,4
E12222900,2.5,2.8,4.8
E03428900,2.5,1.77,3.25
E08124700,4,2.25,4.35
32025Y1L9,4,2.15,4.12
3202535J1,0.5,1.1,2.15
32025Y0Z7,0.5,1,1.8
320260813,1.5,1.5,3.5
320263726,0.5,0.9,3
320263726,0.35,0.8,2.72
320264708,0.75,1.07,2.05
320285257,1.5,1.65,3.1
320292543,1,1.36,4.05
3201506A8,2.5,2.6,3.8
3202515U9,0.35,0.92,3.4
3202515U9,0.5,1.02,3.5
3202539J7,0.35,1.05,1.8
3202575R5,0.35,0.96,1.8
3202576R4,0.5,1.07,2.4
32025Y0Z8,0.75,1.12,2
32025Y2BL,0.5,1.1,1.75
32025Y2NZ,0.35,0.95,1.6
32025Y2NZ,0.5,1.05,2.1
32025Y2QR,0.75,1.2,2
32025Y2S4,0.35,1,1.55
32025Y2S4,0.5,1.05,1.65
32025Y387,1.5,1.5,2.7
E00280800,0.35,1.05,3.2
E03211800,0.35,0.9,3.3
32025Y25S,2.5,2.17,3.5
3202563E7,0.5,1.25,2.15
E01080600,1.5,1.75,3.35
32025Y25S,2,2.1,2.9
320285232,1.5,1.55,3.2
E12210900,4,2.3,4.6
32025Y19H,8,3.27,7.65
E12223100,10,3.85,7.6
3202552T5,0.35,1.06,1.7
320261423,1,1.27,3.9
320298904,0.5,1.05,3.35
E12675300,35,9.05,-
E15052400,1.5,1.54,3.45
32025Y2SP,0.75,1.31,2.65
3202562H2,0.5,1.07,2.05
E00003450,10,3.5,9.6
3202521B5,0.35,1.04,2.1
3202521B5,0.75,1.24,2.3
32025Y2KN,0.5,1.29,3.2
32025Y2KN,0.75,1.39,3.3
32025Y2KN,1.5,1.62,3.55
E13718600,0.5,1.15,2
E13718600,0.75,1.2,2.1
3202537M3,1.5,1.65,3.25
3202537M3,2.5,1.95,3.6
3202581I7,1.5,1.45,3
3202581I7,2.5,1.7,3.4
320257BP2,4,2.1,4.4
3202574F2,4,2.2,4.45
3202532V5,0.35,1.09,3
320292162,0.35,1.1,1.65
320292162,0.5,1.15,2.2
E02546600,0.5,1.08,2.1
3202532X1,0.75,1.25,3.3
3202532X1,1,1.35,3.45
320258FA9,0.5,1.15,1.9
320258FA9,0.75,1.25,2.14
320258FB7,1.5,1.6,2.8
320258FB7,2.5,1.8,3.15
320258FD3,4,2,4
E00021926,10,5.7,-
E12230000,4,2.2,4.4
E13250300,0.35,0.9,2.82
32025Y2BL,0.75,1.15,2.1
320264708,0.5,1,1.8
3202532V5,0.5,1.1,3.3
E03846100,0.35,0.84,2.8
E21929400,0.5,1.1,1.9
E21929400,0.75,1.2,2.2
3202602M3,0.35,1.04,3.5
E04067000,0.35,0.93,2.7
E03355600,0.5,1.05,2.9
E03355600,0.75,1.21,2.9
3202541W2,0.75,1.3,2.15
32025Y25Q,0.5,1.15,2.4
E22156600,35,8.25,13.25
E00066800,0.35,0.75,1.48
E03732200,0.5,1,1.8
E03732200,0.75,1.07,2.05
E22356800,35,9.05,-
E27788800,35,7.3,-
E26543800,16,6,-
E26542400,16,6.2,-
E02129400,35,6.9,-
E26543900,10,5.5,-
E26980900,16,6,-
E26548900,10,3.3,7.85
E00309600,2.5,1.9,3.5
3202586N0,1,1.36,VERF
32025Y2KJ,6,3,6.45
E26549200,0.75,1.45,2.85
E26549200,1,1.55,2.9
E26549000,0.35,1.3,2
E26549000,0.5,1.4,2.15
E11838400,0.35,1,1.8
E11838400,0.5,1.05,1.9
E26548800,4,2.5,5.25
E26548800,6,2.8,5.55
3202980X8,2.5,1.8,VERF
E26549100,4,2.3,4.35
E26549100,6,2.55,4.65
E11837700,1,1.3,2.3
3202590A3,0.5,1.15,VERF
3202590A3,0.75,1.18,VERF
